timestamp,lead_ii
1690535469479,0.0084
1690535469487,0.0055
1690535469495,0.0186
1690535469502,-0.0046
1690535469510,0.0033
1690535469518,0.0076
1690535469526,-0.0222
1690535469534,0.0021
1690535469541,0.0036
1690535469549,0.0077
1690535469557,0.0125
1690535469565,0.0121
1690535469573,-0.0031
1690535469581,-0.0094
1690535469588,0.0116
1690535469596,0.0043
1690535469604,0.0125
1690535469612,0.0186
1690535469620,0.0432
1690535469627,0.0794
1690535469635,0.0937
1690535469643,0.0941
1690535469651,0.1047
1690535469659,0.0712
1690535469667,0.0464
1690535469674,0.0281
1690535469682,0.0204
1690535469690,0.0194
1690535469698,-0.0126
1690535469706,-0.0055
1690535469713,0.0171
1690535469721,-0.0078
1690535469729,0.0058
1690535469737,-0.0103
1690535469745,0.011
1690535469752,0.0019
1690535469760,0.0162
1690535469768,0.0149
1690535469776,0.0005
1690535469784,-0.0135
1690535469791,-0.112
1690535469799,0.012
1690535469807,0.6941
1690535469815,0.8703
1690535469823,0.1128
1690535469831,-0.2204
1690535469838,-0.1341
1690535469846,-0.0348
1690535469854,0.0018
1690535469862,-0.006
1690535469870,0.008
1690535469877,0.0048
1690535469885,0.0069
1690535469893,0.0181
1690535469901,0.0266
1690535469909,0.0232
1690535469917,0.0529
1690535469924,0.063
1690535469932,0.1063
1690535469940,0.1385
1690535469948,0.1683
1690535469956,0.2046
1690535469963,0.2045
1690535469971,0.2355
1690535469979,0.2591
1690535469987,0.2543
1690535469995,0.2132
1690535470002,0.1872
1690535470010,0.1694
1690535470018,0.1255
1690535470026,0.0997
1690535470034,0.0567
1690535470041,0.0417
1690535470049,0.0374
1690535470057,0.0148
1690535470065,-0.0105
1690535470073,0.0028
1690535470081,-0.0051
1690535470088,0.0072
1690535470096,0.009
1690535470104,0.0038
1690535470112,0.0053
1690535470120,0.01
1690535470127,0.0109
1690535470135,0.0035
1690535470143,-0.0052
1690535470151,-0.0026
1690535470159,0.009
1690535470167,0.0048
1690535470174,0.0179
1690535470182,0.001
1690535470190,-0.007
1690535470198,-0.0094
1690535470206,0.0008
1690535470213,-0.0062
1690535470221,-0.004
1690535470229,-0.003
1690535470237,0.0146
1690535470245,-0.0051
1690535470252,-0.0002
1690535470260,-0.0061
1690535470268,-0.0022
1690535470276,0.0031
1690535470284,-0.0057
1690535470291,-0.0078
1690535470299,-0.0049
1690535470307,0.0093
1690535470315,-0.002
1690535470323,-0.0034
1690535470331,0.0261
1690535470338,0.0141
1690535470346,-0.0029
1690535470354,-0.0009
1690535470362,-0.0025
1690535470370,-0.0006
1690535470377,-0.0057
1690535470385,0.0007
1690535470393,-0.0119
1690535470401,0.0127
1690535470409,0.0103
1690535470417,0.0046
1690535470424,0.0247
1690535470432,0.0016
1690535470440,0.0178
1690535470448,0.0255
1690535470456,0.0546
1690535470463,0.0747
