timestamp,BPOGX,BPOGY,BPOGV,LPD,RPD
1690535469479,0.55197,0.44953,1,16.15123,15.87687
1690535469486,0.54778,0.45503,1,15.84145,15.80926
1690535469492,0.55341,0.4551,1,16.03168,15.8485
1690535469499,0.55745,0.45357,1,16.16255,15.78575
1690535469506,0.56301,0.45823,1,16.07405,15.66188
1690535469512,0.55865,0.45065,1,16.02367,15.95526
1690535469519,0.55909,0.45646,1,16.11781,15.80715
1690535469526,0.5643,0.4609,1,15.93617,15.78867
1690535469532,0.56124,0.4575,1,16.08144,15.59996
1690535469539,0.55938,0.46117,1,16.19877,15.80526
1690535469546,0.55948,0.46132,1,16.24866,15.94967
1690535469552,0.55735,0.46105,1,16.12861,15.83431
1690535469559,0.56163,0.46721,1,16.2678,16.16085
1690535469566,0.56518,0.46583,1,16.20621,15.79181
1690535469572,0.5627,0.46429,1,16.15553,15.97479
1690535469579,0.56716,0.45939,1,16.14724,15.83091
1690535469586,0.56045,0.45927,1,15.94868,15.73117
1690535469592,0.55981,0.46025,1,16.06404,15.98914
1690535469599,0.55332,0.45703,1,16.09722,15.89563
1690535469606,0.55176,0.45405,1,16.00014,16.05175
1690535469612,0.54794,0.45567,1,16.0354,15.88016
1690535469619,0.54721,0.4566,1,16.30684,15.5919
1690535469626,0.54347,0.45359,1,16.11226,15.92861
1690535469632,0.54399,0.45136,1,16.2808,16.10035
1690535469639,0.54448,0.44999,1,16.3086,15.92629
1690535469646,0.54985,0.4493,1,16.13502,15.90953
1690535469652,0.5512,0.45127,1,16.21819,15.94697
1690535469659,0.55177,0.45475,1,16.1218,15.84842
1690535469666,0.5533,0.44651,1,16.1138,15.9661
1690535469672,0.55392,0.44965,1,16.02647,16.08255
1690535469679,0.55289,0.44434,1,16.11268,15.85089
1690535469686,0.55172,0.44568,1,16.1099,15.75413
1690535469692,0.54755,0.44299,1,16.23188,15.70807
1690535469699,0.54594,0.44301,1,16.0333,15.68144
1690535469706,0.55112,0.44145,1,16.23454,15.89536
1690535469712,0.54976,0.44128,1,16.1805,16.12504
1690535469719,0.55447,0.44725,1,16.07691,15.73262
1690535469726,0.56063,0.44639,1,15.97038,15.95154
1690535469732,0.55692,0.44135,1,16.1994,16.04208
1690535469739,0.55373,0.44214,1,16.132,15.82581
1690535469746,0.55696,0.44654,1,16.21962,15.73991
1690535469752,0.55969,0.44612,1,16.10135,15.79752
1690535469759,0.56122,0.44195,1,16.47841,15.99684
1690535469766,0.55907,0.44456,1,16.27408,16.22271
1690535469772,0.55772,0.44378,1,16.11311,15.86029
1690535469779,0.55784,0.44394,1,15.95554,16.07097
1690535469786,0.56088,0.44716,1,16.34009,16.03891
1690535469792,0.56013,0.44824,1,16.20032,15.85801
1690535469799,0.56025,0.4506,1,16.44135,16.01837
1690535469806,0.55479,0.46193,1,15.93576,15.84665
1690535469812,0.55247,0.45936,1,16.25594,15.96148
1690535469819,0.55008,0.46548,1,16.42668,15.98533
1690535469826,0.54338,0.46518,1,16.15712,15.90072
1690535469832,0.53831,0.46445,1,16.0062,16.04489
1690535469839,0.54425,0.46597,1,16.12638,15.8454
1690535469846,0.54569,0.46265,1,16.30305,15.77347
1690535469852,0.54526,0.46449,1,16.14982,16.11409
1690535469859,0.54271,0.4652,1,16.16494,15.94723
1690535469866,0.54568,0.46522,1,16.19058,15.9831
1690535469872,0.5468,0.46436,1,16.29995,15.78873
1690535469879,0.54416,0.46745,1,16.0659,16.00023
1690535469886,0.54644,0.46421,1,16.18695,15.79002
1690535469892,0.55156,0.46138,1,16.29057,15.90838
1690535469899,0.54515,0.46303,1,16.33561,15.95895
1690535469906,0.54593,0.45926,1,16.20821,16.18593
1690535469912,0.54172,0.47073,1,16.17958,16.0588
1690535469919,0.53645,0.46855,1,16.10456,15.97692
1690535469926,0.53576,0.46755,1,16.42083,16.04178
1690535469932,0.53448,0.46937,1,16.16743,15.97586
1690535469939,0.54058,0.4667,1,16.09199,15.96187
1690535469946,0.54368,0.46546,1,16.049,15.91503
1690535469952,0.54194,0.45809,1,16.28161,16.0069
1690535469959,0.53746,0.45949,1,16.26296,15.79849
1690535469966,0.53959,0.46043,1,16.18637,15.94444
1690535469972,0.53897,0.45777,1,16.38395,16.04649
1690535469979,0.54104,0.45443,1,16.25265,15.97169
1690535469986,0.53189,0.44965,1,16.24902,15.87964
1690535469992,0.53434,0.44469,1,16.38181,15.72285
1690535469999,0.53649,0.44562,1,16.14416,16.05847
1690535470006,0.53988,0.44507,1,16.56026,15.87476
1690535470012,0.53892,0.43901,1,16.3375,15.91784
1690535470019,0.53473,0.43554,1,16.14406,15.9465
1690535470026,0.53038,0.43949,1,16.34703,16.17726
1690535470032,0.53541,0.44658,1,16.19086,16.09494
1690535470039,0.53293,0.44422,1,16.38016,15.86007
1690535470046,0.53063,0.44643,1,16.40876,15.81311
1690535470052,0.53242,0.44501,1,16.53155,15.97004
1690535470059,0.53444,0.44521,1,16.49061,16.08831
1690535470066,0.53521,0.44216,1,16.12674,16.18825
1690535470072,0.53362,0.44221,1,16.13517,15.80804
1690535470079,0.53785,0.43749,1,16.18596,15.87891
1690535470086,0.53442,0.43567,1,16.23881,16.06538
1690535470092,0.5377,0.43849,1,16.48294,15.87239
1690535470099,0.53971,0.44299,1,16.26513,15.90025
1690535470106,0.53799,0.44358,1,16.26666,16.1652
1690535470112,0.53545,0.44309,1,16.27304,15.91085
1690535470119,0.53438,0.4419,1,16.34325,16.02479
1690535470126,0.53419,0.4504,1,16.32108,15.99161
1690535470132,0.53686,0.44694,1,16.28334,16.22673
1690535470139,0.5369,0.44877,1,16.33092,16.12755
1690535470146,0.53375,0.4486,1,16.33959,15.82323
1690535470152,0.53914,0.45499,1,16.3565,16.27057
1690535470159,0.53941,0.44725,1,16.31892,16.06454
1690535470166,0.53867,0.45362,1,16.23087,15.92854
1690535470172,0.53957,0.45024,1,16.47575,15.89546
1690535470179,0.54029,0.45227,1,16.3308,15.98608
1690535470186,0.53822,0.4511,1,16.14869,16.16294
1690535470192,0.54034,0.4448,1,16.32805,15.84862
1690535470199,0.53438,0.44179,1,16.33764,15.8804
1690535470206,0.5349,0.45079,1,16.08892,16.00747
1690535470212,0.54257,0.45388,1,16.49353,15.86184
1690535470219,0.53647,0.45416,1,16.20585,16.13438
1690535470226,0.53519,0.45628,1,16.43227,16.13079
1690535470232,0.53001,0.45525,1,16.40884,16.01543
1690535470239,0.52215,0.4533,1,16.26111,15.97898
1690535470246,0.52879,0.4507,1,16.37377,15.90967
1690535470252,0.5284,0.45187,1,16.29242,15.85182
1690535470259,0.5356,0.45587,1,16.22705,15.9155
1690535470266,0.53705,0.46014,1,16.52407,15.95095
1690535470272,0.53716,0.4645,1,16.46634,15.64294
1690535470279,0.53239,0.46089,1,16.40791,15.92407
1690535470286,0.52618,0.46584,1,16.19189,16.04559
1690535470292,0.52602,0.4708,1,16.25172,16.05043
1690535470299,0.53512,0.47125,1,16.46756,15.867
1690535470306,0.53723,0.47782,1,16.56568,16.0293
1690535470312,0.53181,0.48182,1,16.39209,15.86372
1690535470319,0.53674,0.48936,1,16.40241,16.1511
1690535470326,0.53194,0.48073,1,16.29816,16.10386
1690535470332,0.53361,0.47455,1,16.27285,16.21554
1690535470339,0.53078,0.47063,1,16.37631,15.96047
1690535470346,0.53088,0.46811,1,16.14123,16.16244
1690535470352,0.52798,0.47049,1,16.23789,16.16806
1690535470359,0.52146,0.46785,1,16.50992,16.06357
1690535470366,0.51984,0.4687,1,16.52719,15.99762
1690535470372,0.5237,0.4707,1,16.41494,15.84545
1690535470379,0.52238,0.46766,1,16.54469,16.01483
1690535470386,0.5224,0.47394,1,16.52969,16.23826
1690535470392,0.52877,0.47958,1,16.35214,16.20551
1690535470399,0.53223,0.47362,1,16.41136,15.89652
1690535470406,0.53123,0.47598,1,16.35381,15.88898
1690535470412,0.52384,0.48103,1,16.37582,16.23516
1690535470419,0.51847,0.47965,1,16.47246,15.99177
1690535470426,0.52581,0.48336,1,16.17612,16.03133
1690535470432,0.52501,0.48125,1,16.34053,16.00391
1690535470439,0.52659,0.48283,1,16.25526,16.12381
1690535470446,0.52783,0.48867,1,16.37558,15.99683
1690535470452,0.52899,0.4889,1,16.28138,16.01506
1690535470459,0.52358,0.48983,1,16.37032,15.9785
1690535470466,0.52526,0.48697,1,16.14206,16.03826
1690535470472,0.53155,0.4829,1,16.41146,15.8614
1690535470479,0.52745,0.48266,1,16.4453,16.09336
1690535470486,0.52816,0.48531,1,16.34841,15.96994
1690535470492,0.5224,0.49155,1,16.47736,15.87853
1690535470499,0.52564,0.4894,1,16.52303,15.90678
1690535470506,0.52412,0.48901,1,16.63377,15.92467
1690535470512,0.52434,0.48572,1,16.38979,15.99463
1690535470519,0.52691,0.4816,1,16.3611,16.14028
1690535470526,0.53409,0.48769,1,16.51582,16.03493
1690535470532,0.52882,0.49154,1,16.48819,15.86886
1690535470539,0.52667,0.49632,1,16.41508,15.65771
1690535470546,0.53008,0.49649,1,16.3562,15.76724
1690535470552,0.5258,0.49434,1,16.27204,15.86967
1690535470559,0.52667,0.49,1,16.57075,15.9522
1690535470566,0.52597,0.48563,1,16.42988,16.1534
1690535470572,0.52616,0.48355,1,16.5236,15.94568
1690535470579,0.52369,0.48505,1,16.30757,16.06592
1690535470586,0.52656,0.48087,1,16.3214,15.84268
1690535470592,0.53305,0.48203,1,16.25124,16.16442
1690535470599,0.53377,0.48574,1,16.20381,16.0265
1690535470606,0.53835,0.48441,1,16.21533,15.9057
1690535470612,0.5374,0.48358,1,16.42635,15.94818
1690535470619,0.5391,0.48091,1,16.32077,16.15608
1690535470626,0.53908,0.48116,1,16.29719,15.76633
1690535470632,0.54291,0.48616,1,16.28062,15.86342
1690535470639,0.5512,0.48783,1,16.48836,15.90867
1690535470646,0.5484,0.48688,1,16.43311,16.10751
1690535470652,0.54925,0.48983,1,16.32641,16.15389
1690535470659,0.54976,0.48909,1,16.36272,15.79911
1690535470666,0.55202,0.48588,1,16.35614,15.94312
1690535470672,0.54806,0.48196,1,16.42649,15.93941
1690535470679,0.55038,0.48505,1,16.31295,16.16543
1690535470686,0.55742,0.48304,1,16.2312,15.95265
1690535470692,0.55907,0.4855,1,16.2756,16.27335
1690535470699,0.55655,0.4875,1,16.32297,15.93361
1690535470706,0.55266,0.48735,1,16.48239,16.16355
1690535470712,0.54843,0.48731,1,16.38498,15.74856
1690535470719,0.5439,0.48473,1,16.23878,15.97536
1690535470726,0.53882,0.48236,1,16.31016,15.80485
1690535470732,0.5359,0.48331,1,16.60823,15.93191
1690535470739,0.54124,0.47864,1,16.3479,15.87675
1690535470746,0.53659,0.47723,1,16.52652,15.94278
1690535470752,0.52519,0.4759,1,16.32345,15.89096
1690535470759,0.52492,0.47314,1,16.35365,15.91524
1690535470766,0.5306,0.46475,1,16.35159,15.97272
1690535470772,0.53521,0.46564,1,16.42333,15.73587
1690535470779,0.5372,0.47282,1,16.45068,15.97531
1690535470786,0.54403,0.47955,1,16.34126,16.10637
1690535470792,0.54458,0.48041,1,16.42158,16.01592
1690535470799,0.5387,0.47775,1,16.3614,16.05316
1690535470806,0.53701,0.47841,1,16.33039,15.91697
1690535470812,0.54225,0.47437,1,16.29392,15.87966
1690535470819,0.53883,0.46539,1,16.34514,16.1038
1690535470826,0.54182,0.46296,1,16.63897,16.2733
1690535470832,0.54273,0.45649,1,16.41485,15.98242
1690535470839,0.53701,0.45804,1,16.45664,16.06021
1690535470846,0.54343,0.45259,1,16.29666,15.6869
1690535470852,0.54097,0.45487,1,16.41606,15.92929
1690535470859,0.53933,0.45502,1,16.31674,15.80039
1690535470866,0.54155,0.45991,1,16.43647,15.95527
1690535470872,0.5473,0.46335,1,16.348,16.01708
1690535470879,0.54848,0.45507,1,16.35594,16.16948
1690535470886,0.5488,0.45045,1,16.21138,15.93465
1690535470892,0.54772,0.45101,1,16.50299,16.03545
1690535470899,0.54859,0.44944,1,16.49159,15.92735
1690535470906,0.55633,0.45634,1,16.47197,15.84553
1690535470912,0.55303,0.45791,1,16.38232,15.81599
1690535470919,0.55727,0.45968,1,16.63508,15.92273
1690535470926,0.55936,0.45464,1,16.25256,15.97213
1690535470932,0.55253,0.4479,1,16.42544,15.99885
1690535470939,0.55087,0.44588,1,16.35011,16.20078
1690535470946,0.54741,0.44388,1,16.59588,15.84102
1690535470952,0.55116,0.43971,1,16.15747,15.96744
1690535470959,0.55315,0.44533,1,16.44891,16.03443
1690535470966,0.56008,0.44907,1,16.47805,15.91385
1690535470972,0.55276,0.4556,1,16.33346,16.00331
1690535470979,0.54392,0.45765,1,16.64384,15.96496
1690535470986,0.54253,0.46132,1,16.49944,16.07436
1690535470992,0.54131,0.46052,1,16.45432,15.85264
1690535470999,0.54131,0.45851,1,16.3661,15.88165
1690535471006,0.54082,0.46093,1,16.48898,16.07592
1690535471012,0.54125,0.46232,1,16.3909,15.78128
1690535471019,0.54122,0.4572,1,16.33136,15.89017
1690535471026,0.53324,0.45256,1,16.33255,15.79398
1690535471032,0.52395,0.45593,1,16.57027,16.06612
1690535471039,0.52637,0.45291,1,16.19024,15.99225
1690535471046,0.52799,0.44855,1,16.49356,15.81467
1690535471052,0.52605,0.44898,1,16.38446,16.17678
1690535471059,0.52555,0.44551,1,16.36215,15.96523
1690535471066,0.51939,0.44384,1,16.37446,15.8546
1690535471072,0.51508,0.43926,1,16.40485,15.92291
1690535471079,0.51339,0.44067,1,16.22504,15.89633
1690535471086,0.50805,0.43197,1,16.25997,16.04654
1690535471092,0.50427,0.43043,1,16.40943,16.09654
1690535471099,0.50188,0.42675,1,16.22331,15.91719
1690535471106,0.50344,0.42637,1,16.24538,15.81286
1690535471112,0.4995,0.42488,1,16.37438,15.98208
1690535471119,0.49798,0.42571,1,16.26028,15.86871
1690535471126,0.49883,0.42269,1,16.45598,15.99473
1690535471132,0.49705,0.42153,1,16.25821,16.21309
1690535471139,0.48958,0.42461,1,16.43976,15.82838
1690535471146,0.48789,0.43162,1,16.58911,15.80147
1690535471152,0.49077,0.42844,1,16.31676,15.67256
1690535471159,0.49578,0.42577,1,16.38584,15.81777
1690535471166,0.49899,0.43104,1,16.46525,15.97822
1690535471172,0.50144,0.43224,1,16.48742,15.77218
1690535471179,0.50299,0.43182,1,16.52165,15.92945
